region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
UKD1:Cumbria;United Kingdom;UK;Cumbria;y;73,7;1,84;1,6;-1,1;81,3;83,5;79,1;25,9;16,4;80,7;77,4;84,1;4,2;4;4,4;33,4;38,5;28,3;19,8;17,5;21,7
UKD3:Greater Manchester;United Kingdom;UK;Greater Manchester;y;2144;1,88;2,9;4,6;79,7;81,6;77,8;25,2;13,9;74;67;81;6,5;6,5;6,4;38,9;40;37,8;11,5;11,5;11,5
UKD4:Lancashire;United Kingdom;UK;Lancashire;y;479;1,93;1,8;1,5;80,1;82;78,1;22,5;14,3;76;71,3;80,7;4,5;5,2;3,9;33,9;35,8;32;14,8;11,5;17,9
UKD6:Cheshire;United Kingdom;UK;Cheshire;y;403,7;1,85;4,2;1;81,6;83,3;79,9;33,9;17,5;78;70,7;85,5;3,5;4,2;2,9;44,5;47,8;40,9;6,6;4,8;8,5
UKD7:Merseyside;United Kingdom;UK;Merseyside;y;2095,4;1,77;2,2;1,4;79,7;81,6;77,7;22,3;14,5;73,5;70,7;76,5;5,8;4,6;7,1;33,9;37,9;29,5;13,6;15,4;11,7
UKE1:East Yorkshire and Northern Lincolnshire;United Kingdom;UK;East Yorkshire and Northern Lincolnshire;y;263,5;1,84;2,6;1;80,8;82,7;78,9;22,7;14,5;73,6;67,6;79,6;6,4;7,3;5,7;32,6;33,1;32,1;12,2;9,3;15,2
UKE2:North Yorkshire;United Kingdom;UK;North Yorkshire;y;97,3;1,72;3,6;-0,3;82,6;84,3;80,9;26,8;17,4;81,8;77,5;86,2;3,2;2,1;4,1;43,1;47,3;38,8;11,1;10,2;11,9
UKE3:South Yorkshire;United Kingdom;UK;South Yorkshire;y;880,4;1,76;3,8;2,4;80,4;82,3;78,5;20,9;13,7;71,7;67,5;76;7,4;6,6;8,1;33,3;34,9;31,7;14,4;14,9;13,9
UKE4:West Yorkshire;United Kingdom;UK;West Yorkshire;y;1119,1;1,92;2,4;4,7;80,4;82,3;78,4;25;14,2;75,1;69,8;80,4;6,6;5,6;7,5;35,1;37,5;32,7;12,8;9,6;15,9
UKF1:Derbyshire and Nottinghamshire;United Kingdom;UK;Derbyshire and Nottinghamshire;y;449,1;1,8;5;2;80,9;82,9;79;24;14,6;76,7;71,8;81,8;4,8;4,4;5,2;37,9;39,2;36,6;9,4;8,6;10,3
UKF2:Leicestershire, Rutland and Northamptonshire;United Kingdom;UK;Leicestershire, Rutland and Northamptonshire;y;358;1,88;6,1;3,8;81,8;83,7;79,9;26,4;15,7;79;73,5;84,5;4,4;4,3;4,5;34,9;37,1;32,7;10,7;10,2;11
UKF3:Lincolnshire;United Kingdom;UK;Lincolnshire;y;123,3;1,9;8,8;0,4;82;83,6;80,4;22,2;16;77,3;68,1;86,6;4,5;4,9;4,2;32,1;32,2;32;14,8;10,5;19,3
UKG1:Herefordshire, Worcestershire and Warwickshire;United Kingdom;UK;Herefordshire, Worcestershire and Warwickshire;y;222,9;1,82;5,3;0,6;82,1;83,8;80,4;26,7;17,5;81,7;76,8;86,6;3,2;3,7;2,7;44;45,7;42,2;16,1;15,2;16,9
UKG2:Shropshire and Staffordshire;United Kingdom;UK;Shropshire and Staffordshire;y;256,6;1,88;3,5;1,4;81,5;83,3;79,6;22,5;15,6;78,1;72,5;83,6;4,6;4,6;4,7;35,6;37,9;33,3;11,4;11,8;11
UKG3:West Midlands;United Kingdom;UK;West Midlands;y;3112,5;1,98;3,6;5,5;80,1;82,3;77,8;23,7;13,2;69,2;62,7;75,9;7,9;7,2;8,5;32,9;32,5;33,3;13,2;12,4;13,9
UKH1:East Anglia;United Kingdom;UK;East Anglia;y;194,9;1,88;6,8;1,9;82,5;84,2;80,6;27,7;16,5;79,8;75;84,5;4,3;4,5;4,2;35,7;36,7;34,7;12,4;12,2;12,5
UKH2:Bedfordshire and Hertfordshire;United Kingdom;UK;Bedfordshire and Hertfordshire;y;623,8;1,94;7,8;5,3;82,5;84,1;80,8;30,9;19,3;81,7;75,1;88,6;3,8;2,7;4,8;43,6;45,4;41,7;8,3;6,3;10,1
UKH3:Essex;United Kingdom;UK;Essex;y;482,3;1,96;8;2,5;81,9;83,5;80,2;24,3;17,9;79,6;72,4;87,1;4,3;4,3;4,3;32,5;32,9;32,1;12,5;10,8;14,2
UKI3:Inner London - West;United Kingdom;UK;Inner London - West;y;10282,9;1,3;3,4;8,5;83,8;85,7;81,8;148;37,9;73,5;66,8;80,1;5,4;5,6;5,2;69,5;67,1;71,8;2,4;2,8;1,9
UKI4:Inner London - East;United Kingdom;UK;Inner London - East;y;10780,3;1,58;7,9;11,5;81,3;83,4;79,1;56,1;19;75,1;68,5;81,5;7,2;7,2;7,1;58,1;55,7;60,5;5,5;7;4
UKI5:Outer London - East and North East;United Kingdom;UK;Outer London - East and North East;y;4259,3;1,97;6,5;8,8;82,2;84,1;80,1;22,4;16,3;75,7;66,9;85;7,5;9,3;6;43,3;44;42,6;9,4;8,8;10,1
UKI6:Outer London - South;United Kingdom;UK;Outer London - South;y;3587,5;1,86;5;7,2;82,6;84;81,2;27,1;20,7;79,3;70,7;87,7;4,6;5,4;4;55,2;55,3;55;8,3;7,4;9,1
UKI7:Outer London - West and North West;United Kingdom;UK;Outer London - West and North West;y;4393,9;1,84;4;9,3;83,4;85,1;81,6;33,3;20,6;76,7;69,7;83,8;5,5;5,2;5,7;53,2;55,4;50,8;5,8;5,5;6,1
UKJ1:Berkshire, Buckinghamshire and Oxfordshire;United Kingdom;UK;Berkshire, Buckinghamshire and Oxfordshire;y;407,2;1,88;4,9;5,3;82,8;84,6;81;41,1;19,8;81,8;75,6;88,2;3,5;3,7;3,2;51,7;53,2;50,2;10,5;12;9
UKJ2:Surrey, East and West Sussex;United Kingdom;UK;Surrey, East and West Sussex;y;516,2;1,81;7,8;1,4;82,9;84,5;81,2;31,6;20,5;79,5;74,5;84,6;3,7;3,6;3,9;46,4;47,5;45,2;10,4;7,8;12,8
UKJ3:Hampshire and Isle of Wight;United Kingdom;UK;Hampshire and Isle of Wight;y;467,8;1,83;5,4;2,4;82,6;84,4;80,7;30,7;17,5;80,5;75,8;85,3;4,1;3,8;4,3;40,7;41,8;39,7;9,5;7,4;11,6
UKJ4:Kent;United Kingdom;UK;Kent;y;476,7;1,93;8,2;2,6;81,7;83,3;80;24,1;17,5;77,7;70;85,5;5,3;6,2;4,6;36,3;37,4;35,2;11,2;9,1;13
UKK1:Gloucestershire, Wiltshire and Bristol/Bath area;United Kingdom;UK;Gloucestershire, Wiltshire and Bristol/Bath area;y;323,3;1,85;6,6;3,1;82,5;84,2;80,7;30,8;17,4;81,5;76,1;86,9;3,9;3,9;3,8;45,5;46,2;44,9;8,5;7,5;9,4
UKK2:Dorset and Somerset;United Kingdom;UK;Dorset and Somerset;y;213,2;1,86;7,8;-0,7;82,9;84,8;81;24,7;17,4;80,3;74,9;85,6;3,9;4,3;3,7;40,1;41,4;38,8;7,2;5,5;8,7
UKK3:Cornwall and Isles of Scilly;United Kingdom;UK;Cornwall and Isles of Scilly;y;154,1;1,9;9,5;-0,8;81,7;83,7;79,7;20,7;15,8;80;75,1;84,9;4,5;3,9;5;32;37,4;26,5;7,5;5,9;9,3
UKK4:Devon;United Kingdom;UK;Devon;y;172,4;1,83;8,5;-0,6;82,2;84,1;80,2;23,5;16;78,8;73;85;3,7;4,7;2,7;40,1;42,4;37,6;9;8,6;9,4
UKL1:West Wales and The Valleys;United Kingdom;UK;West Wales and The Valleys;y;149;1,79;4;-0,2;80,6;82,5;78,6;18,9;14,2;73,4;69,6;77,3;6,5;5,8;7,2;36,4;38,8;33,8;15;12,9;17
UKL2:East Wales;United Kingdom;UK;East Wales;y;150,8;1,75;4,4;2,1;81,4;83,3;79,5;24,8;15,6;75,4;71,8;79;4,8;2,8;6,6;43;43,7;42,3;11,7;7,8;15,8
UKM2:Eastern Scotland;United Kingdom;UK;Eastern Scotland;y;114,5;1,59;4,5;1,1;80,4;82,2;78,5;27,2;16,7;77,4;73,9;80,9;6;5,7;6,2;50,6;53,3;47,8;9,7;10,8;8,8
UKM3:South Western Scotland;United Kingdom;UK;South Western Scotland;y;178,9;1,63;1,4;-0,1;78,6;80,7;76,4;25;15,4;75,1;72,9;77,4;6,6;5,5;7,7;44,4;48,3;40,2;11,2;11,8;10,6
UKM5:North Eastern Scotland;United Kingdom;UK;North Eastern Scotland;y;75,2;1,56;6,9;1,9;80;81,9;78,2;44,9;19,3;82,2;76,3;88,2;3,2;3;3,4;52,2;56;48,3;11,6;6,8;16,4
UKM6:Highlands and Islands;United Kingdom;UK;Highlands and Islands;y;11,6;1,78;1,2;-1;81;83,1;78,8;25,6;16;77,6;72,5;83,5;4,1;3,6;4,5;41,1;49,7;31,7;10,6;10,7;10,3
UKN0:Northern Ireland (UK);United Kingdom;UK;Northern Ireland (UK);y;135,8;1,97;0;5,3;80,8;82,7;78,9;22,4;13,7;72,4;66,6;78,4;6,1;5,1;6,9;33,6;36,7;30,3;11,9;8,9;14,8
