region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
FR26:Bourgogne;France;FR;Bourgogne;y;52;1,9;0,2;-0,3;82,3;85,9;78,8;24,6;17,6;70,4;68,9;71,9;8,7;8,7;8,6;25,6;28,5;22,7;6,5;6,2;6,8
FR30:Nord - Pas-de-Calais;France;FR;Nord - Pas-de-Calais;y;327,9;2,09;-3;4,7;80,6;84,2;76,9;23,4;15;62,3;57,1;67,8;14;13,1;14,8;27,8;30;25,4;12;11,1;12,9
FR41:Lorraine;France;FR;Lorraine;y;99,4;1,8;-2,8;1,6;81,9;85,1;78,6;21,8;16,5;66,5;63,4;69,7;12,2;11,4;12,9;30,3;32,2;28,4;9,2;10,1;8,3
FR42:Alsace;France;FR;Alsace;y;226,8;1,86;0;3,8;82,8;85,9;79,7;26,7;17,3;72,3;67,9;76,9;9,3;8,7;9,8;32,2;34,7;29,5;9;9,3;8,7
FR43:Franche-Comté;France;FR;Franche-Comté;y;72,7;1,97;-1,7;2,6;82,6;85,9;79,3;21,2;17,1;70,5;67;74,2;9,2;8,6;9,7;25,6;28,3;22,8;13,1;15,4;10,9
FR51:Pays de la Loire;France;FR;Pays de la Loire;y;115,4;2,04;4,1;3,4;83,5;86,9;79,9;26,2;17;73,1;70,3;75,9;9,1;8,8;9,3;32,3;34,3;30,3;7;7,4;6,5
FR52:Bretagne;France;FR;Bretagne;y;120,7;1,93;4,5;0,9;82,3;85,8;78,7;24,3;17,1;73,8;71,2;76,4;7,8;7,3;8,4;32,8;35,9;29,7;6;4,5;7,4
FR53:Poitou-Charentes;France;FR;Poitou-Charentes;y;69,6;1,87;3,6;-0,4;83,1;86,5;79,7;23,9;17,2;70,2;67,1;73,5;9,7;8,8;10,6;26,5;28,7;24,4;6,4;3,9;9
FR61:Aquitaine;France;FR;Aquitaine;y;81,3;1,79;7,5;0,6;83,1;86,1;79,9;25,3;17,1;71,1;68,9;73,5;9,8;9,8;9,8;33,4;37,7;28,8;6,3;5,2;7,4
FR62:Midi-Pyrénées;France;FR;Midi-Pyrénées;y;65,9;1,85;6,3;1,7;83,7;86,8;80,6;26,5;17,2;71,3;68,7;74;8,5;8,1;8,9;39,8;43,9;35,6;6,6;5;8,2
FR63:Limousin;France;FR;Limousin;y;43,3;1,82;0,3;-2,8;82,6;86,3;79;22;17,3;72,3;71,4;73,2;8,9;8;9,9;30;32,9;26,8;9,8;8,4;11,4
FR71:Rhône-Alpes;France;FR;Rhône-Alpes;y;148,3;2,02;3,4;5,3;84;86,9;80,9;29,1;17,9;72,5;68,7;76,4;9,1;9;9,2;37,4;39,8;34,9;8,7;7,1;10,2
FR72:Auvergne;France;FR;Auvergne;y;52,4;1,86;3,2;-0,8;82,5;86,1;78,9;23,4;18;71,1;68,1;74;8,6;8;9,1;28,8;32,5;25,1;7;6,8;7,2
FR81:Languedoc-Roussillon;France;FR;Languedoc-Roussillon;y;101,4;1,9;9,6;1,3;82,9;86,1;79,6;22,1;15,8;63,9;60,5;67,5;12,9;12,2;13,6;31,4;33,9;28,6;10,7;10,2;11,3
FR82:Provence-Alpes-Côte d'Azur;France;FR;Provence-Alpes-Côte d'Azur;y;158,6;2,06;1;2,6;83,3;86,3;80,1;28;17,5;67,6;62,9;72,7;11;11,1;10,9;35,6;38,3;32,7;10,7;11,3;10,1
FR83:Corse;France;FR;Corse;y;37,5;1,51;10,6;-0,2;83,1;86;80,3;24,5;16,6;61,4;58,2;64,3;8,5;14,1;NA;31,5;39,3;24,2;17,9;7,4;24,6
FRA1:Guadeloupe;France;FR;Guadeloupe;y;259;2,3;-9,2;5,1;NA;NA;NA;20,1;14,2;53,9;49,5;59,4;23,7;25,7;21,5;19,5;21,6;16,8;16;10,8;20,8
FRA2:Martinique;France;FR;Martinique;y;337;2,11;-12,6;2,8;81,4;84,3;78,1;21,2;14,1;58,6;57,3;60,3;18,6;17,3;20,1;24,1;27;20,6;14,3;9;19,5
